#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-24-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.204175 seconds
Distributing the actor graph took: 41.4174 seconds
Added actors in: 0.136771 seconds.
Initialized connections of actors in: 0.0478908 seconds.
Async Migration only
Output number: 1, Rank-12: (1) 78 | (2) 1002 | (3)7.78443/100 | (4) 33, 33 | (5) 79.3096 | (6) 44.5612 | (7) 0.000194488 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.3333/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (203413, 203413) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 180.154 | (25) (33.859, 61-55)
Output number: 1, Rank-490: (1) 68 | (2) 1139 | (3)5.97015/100 | (4) 24, 24 | (5) 96.3083 | (6) 37.2784 | (7) 0.000182768 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.8889/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (113072, 113072) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 206.087 | (25) (33.4562, 5-137)
Output number: 1, Rank-369: (1) 75 | (2) 1523 | (3)4.92449/100 | (4) 35, 35 | (5) 77.9626 | (6) 45.1151 | (7) 0.000259071 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.3333/100 | (15) 0 | (17) (35, 35) | (18) X | (19) (191974, 191974) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 178.927 | (25) (33.8355, 12-133)
Output number: 1, Rank-315: (1) 68 | (2) 1455 | (3)4.67354/100 | (4) 33, 33 | (5) 72.591 | (6) 47.1064 | (7) 0.000251449 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 66.1111/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (210004, 210004) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 209.724 | (25) (33.2577, 71-85)
Output number: 1, Rank-569: (1) 52 | (2) 1362 | (3)3.81791/100 | (4) 36, 36 | (5) 66.9098 | (6) 48.601 | (7) 0.000199731 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 63.8889/100 | (15) 0 | (17) (36, 36) | (18) X | (19) (186374, 186374) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 212.029 | (25) (33.6139, 63-73)
Output number: 1, Rank-629: (1) 80 | (2) 999 | (3)8.00801/100 | (4) 24, 24 | (5) 94.6845 | (6) 38.0792 | (7) 0.000120063 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.3333/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (107458, 107458) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 208.306 | (25) (34.0836, 65-84)
Output number: 1, Rank-146: (1) 87 | (2) 1588 | (3)5.47859/100 | (4) 27, 27 | (5) 66.8889 | (6) 49.503 | (7) 0.000191055 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 64.4444/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (169872, 169872) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 188.029 | (25) (35.9988, 84-90)
Output number: 1, Rank-127: (1) 69 | (2) 870 | (3)7.93103/100 | (4) 23, 23 | (5) 89.644 | (6) 39.3373 | (7) 0.000152101 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.1111/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (150121, 150121) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 209.754 | (25) (33.9747, 66-52)
Output number: 1, Rank-102: (1) 63 | (2) 1449 | (3)4.34783/100 | (4) 29, 29 | (5) 86.207 | (6) 41.4284 | (7) 0.00024706 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70.5556/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (190496, 190496) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 208.097 | (25) (33.4364, 91-77)
Output number: 1, Rank-80: (1) 64 | (2) 1000 | (3)6.4/100 | (4) 32, 32 | (5) 67.8477 | (6) 48.1628 | (7) 0.000184921 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 64.4444/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (226508, 226508) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 210.79 | (25) (33.5871, 138-7)
Output number: 1, Rank-272: (1) 89 | (2) 1084 | (3)8.21033/100 | (4) 33, 33 | (5) 88.0203 | (6) 40.5098 | (7) 0.000187453 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.1111/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (131919, 131919) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 190.749 | (25) (35.977, 2-9)
Output number: 1, Rank-303: (1) 70 | (2) 1397 | (3)5.01074/100 | (4) 27, 27 | (5) 83.2535 | (6) 42.8502 | (7) 0.000248658 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (172338, 172338) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 209.712 | (25) (33.7123, 126-13)
Output number: 1, Rank-47: (1) 78 | (2) 1449 | (3)5.38302/100 | (4) 37, 37 | (5) 69.788 | (6) 49.1394 | (7) 0.000278088 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 65.5556/100 | (15) 0 | (17) (37, 37) | (18) X | (19) (231481, 231481) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 212.875 | (25) (33.3372, 64-71)
Output number: 1, Rank-431: (1) 77 | (2) 1459 | (3)5.27759/100 | (4) 22, 22 | (5) 110.627 | (6) 31.3718 | (7) 0.000282136 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 78.3333/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (100898, 100898) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 207.604 | (25) (33.6835, 52-77)
Output number: 1, Rank-646: (1) 67 | (2) 1124 | (3)5.96085/100 | (4) 17, 17 | (5) 80.296 | (6) 43.8909 | (7) 0.00025675 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.8889/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (152152, 152152) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 204.685 | (25) (33.5581, 50-81)
Output number: 1, Rank-195: (1) 71 | (2) 1435 | (3)4.94774/100 | (4) 23, 23 | (5) 74.8893 | (6) 46.9701 | (7) 0.000165537 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.2222/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (235139, 235139) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 207.809 | (25) (33.4447, 83-49)
Output number: 1, Rank-360: (1) 72 | (2) 900 | (3)8/100 | (4) 22, 22 | (5) 82.7722 | (6) 42.7452 | (7) 0.000217104 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 69.4444/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (130512, 130512) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 237.434 | (25) (33.2972, 79-70)
Output number: 1, Rank-396: (1) 62 | (2) 1388 | (3)4.46686/100 | (4) 32, 32 | (5) 66.5046 | (6) 49.6062 | (7) 0.000173236 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 64.4444/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (175896, 175896) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 210.228 | (25) (33.5635, 10-139)
Output number: 1, Rank-228: (1) 101 | (2) 1585 | (3)6.37224/100 | (4) 53, 53 | (5) 74.9632 | (6) 45.6725 | (7) 0.000289021 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 66.6667/100 | (15) 0 | (17) (53, 53) | (18) X | (19) (215900, 215900) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 188.284 | (25) (33.792, 70-48)
Output number: 1, Rank-473: (1) 61 | (2) 950 | (3)6.42105/100 | (4) 66, 66 | (5) 64.8488 | (6) 48.8297 | (7) 0.000159378 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 62.7778/100 | (15) 0 | (17) (66, 66) | (18) X | (19) (303045, 303045) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 195.116 | (25) (34.051, 80-86)
Output number: 1, Rank-554: (1) 63 | (2) 1463 | (3)4.30622/100 | (4) 22, 22 | (5) 77.2065 | (6) 46.0089 | (7) 0.000276014 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.3333/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (167156, 167156) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 208.118 | (25) (34.0956, 17-13)
Output number: 1, Rank-507: (1) 67 | (2) 1559 | (3)4.29763/100 | (4) 14, 14 | (5) 94.8503 | (6) 38.2103 | (7) 0.000258721 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.8889/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (136087, 136087) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 233.374 | (25) (33.3038, 74-51)
Output number: 1, Rank-207: (1) 90 | (2) 1046 | (3)8.60421/100 | (4) 34, 34 | (5) 84.997 | (6) 41.6649 | (7) 0.000208966 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (186360, 186360) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 182.121 | (25) (34.0855, 71-52)
Output number: 1, Rank-610: (1) 104 | (2) 1092 | (3)9.52381/100 | (4) 39, 39 | (5) 87.8215 | (6) 40.215 | (7) 0.000197639 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.1111/100 | (15) 0 | (17) (39, 39) | (18) X | (19) (208151, 208151) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 217.055 | (25) (34.6996, 87-75)
Output number: 1, Rank-492: (1) 87 | (2) 970 | (3)8.96907/100 | (4) 31, 31 | (5) 86.1863 | (6) 40.9094 | (7) 0.000175775 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70.5556/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (159362, 159362) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 212.313 | (25) (33.9262, 88-65)
Output number: 1, Rank-371: (1) 95 | (2) 995 | (3)9.54774/100 | (4) 47, 47 | (5) 75.581 | (6) 46.5403 | (7) 0.00019904 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.7778/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (252754, 252754) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 185.951 | (25) (33.7751, 5-127)
Output number: 1, Rank-318: (1) 74 | (2) 1619 | (3)4.57072/100 | (4) 49, 49 | (5) 66.366 | (6) 49.129 | (7) 0.000238065 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 63.8889/100 | (15) 0 | (17) (49, 49) | (18) X | (19) (250392, 250392) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 219.132 | (25) (33.8236, 4-4)
Output number: 1, Rank-570: (1) 83 | (2) 1539 | (3)5.39311/100 | (4) 31, 31 | (5) 63.8884 | (6) 51.9967 | (7) 0.000210184 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 63.8889/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (260005, 260005) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 213.112 | (25) (33.9525, 132-132)
Output number: 1, Rank-634: (1) 73 | (2) 1389 | (3)5.25558/100 | (4) 29, 29 | (5) 61.1645 | (6) 51.8492 | (7) 0.000190295 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 62.7778/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (220892, 220892) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 208.428 | (25) (33.2045, 56-54)
Output number: 1, Rank-81: (1) 69 | (2) 1025 | (3)6.73171/100 | (4) 72, 72 | (5) 78.1586 | (6) 42.7324 | (7) 0.000262667 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 66.6667/100 | (15) 0 | (17) (72, 72) | (18) X | (19) (289205, 289205) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 195.691 | (25) (33.6772, 142-7)
Output number: 1, Rank-274: (1) 98 | (2) 1403 | (3)6.98503/100 | (4) 15, 15 | (5) 105.772 | (6) 33.2292 | (7) 0.000245011 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 77.2222/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (105435, 105435) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 203.438 | (25) (33.6285, 134-14)
Output number: 1, Rank-304: (1) 76 | (2) 1521 | (3)4.99671/100 | (4) 51, 51 | (5) 68.5636 | (6) 50.4586 | (7) 0.000216008 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 66.1111/100 | (15) 0 | (17) (51, 51) | (18) X | (19) (267995, 267995) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 187.181 | (25) (34.2303, 83-69)
Output number: 1, Rank-48: (1) 61 | (2) 1000 | (3)6.1/100 | (4) 66, 66 | (5) 59.5903 | (6) 52.2445 | (7) 0.000297232 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 61.6667/100 | (15) 0 | (17) (66, 66) | (18) X | (19) (289588, 289588) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 195.061 | (25) (34.021, 142-121)
Output number: 1, Rank-433: (1) 82 | (2) 866 | (3)9.46882/100 | (4) 32, 32 | (5) 110.378 | (6) 30.8693 | (7) 0.00018716 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 78.3333/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (103025, 103025) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 213.023 | (25) (33.9911, 72-72)
Output number: 1, Rank-647: (1) 77 | (2) 1575 | (3)4.88889/100 | (4) 27, 27 | (5) 67.3906 | (6) 49.7339 | (7) 0.000171046 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 65/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (237377, 237377) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 211.053 | (25) (33.874, 56-77)
Output number: 1, Rank-168: (1) 70 | (2) 1381 | (3)5.06879/100 | (4) 31, 31 | (5) 108.4 | (6) 31.9016 | (7) 0.000176987 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 77.7778/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (125126, 125126) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 210.251 | (25) (33.6432, 94-82)
Output number: 1, Rank-361: (1) 74 | (2) 972 | (3)7.61317/100 | (4) 14, 14 | (5) 83.1943 | (6) 42.3966 | (7) 0.000199937 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 69.4444/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (137285, 137285) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 237.394 | (25) (33.9633, 17-140)
Output number: 1, Rank-398: (1) 54 | (2) 937 | (3)5.76307/100 | (4) 19, 19 | (5) 68.1464 | (6) 49.0449 | (7) 0.000204523 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 65/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (144086, 144086) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 203.997 | (25) (33.3163, 15-133)
Output number: 1, Rank-230: (1) 49 | (2) 1510 | (3)3.24503/100 | (4) 21, 21 | (5) 76.535 | (6) 45.5872 | (7) 0.000302522 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.7778/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (168432, 168432) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 206.23 | (25) (33.8723, 10-14)
Output number: 1, Rank-474: (1) 63 | (2) 1362 | (3)4.62555/100 | (4) 17, 17 | (5) 72.6859 | (6) 47.8977 | (7) 0.000200564 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 66.6667/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (152489, 152489) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 205.533 | (25) (33.8629, 2-123)
Output number: 1, Rank-556: (1) 66 | (2) 1441 | (3)4.58015/100 | (4) 22, 22 | (5) 68.9735 | (6) 49.1079 | (7) 0.000156214 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 65.5556/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (179370, 179370) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 140.825 | (25) (33.7872, 131-10)
Output number: 1, Rank-508: (1) 73 | (2) 922 | (3)7.91757/100 | (4) 23, 23 | (5) 99.1742 | (6) 36.0122 | (7) 0.00028319 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (107616, 107616) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 207.067 | (25) (33.5947, 125-2)
Output number: 1, Rank-208: (1) 93 | (2) 1525 | (3)6.09836/100 | (4) 32, 32 | (5) 82.8634 | (6) 43.1816 | (7) 0.000182971 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (164787, 164787) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 179.072 | (25) (34.255, 2-139)
Output number: 1, Rank-613: (1) 76 | (2) 1392 | (3)5.45977/100 | (4) 35, 35 | (5) 83.0247 | (6) 42.6906 | (7) 0.000178622 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 69.4444/100 | (15) 0 | (17) (35, 35) | (18) X | (19) (168845, 168845) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 210.515 | (25) (33.5173, 87-64)
Output number: 1, Rank-493: (1) 77 | (2) 1403 | (3)5.48824/100 | (4) 20, 20 | (5) 83.8535 | (6) 42.7642 | (7) 0.000248099 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (170654, 170654) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 203.499 | (25) (33.2041, 63-69)
Output number: 1, Rank-372: (1) 109 | (2) 1085 | (3)10.0461/100 | (4) 36, 36 | (5) 73.5474 | (6) 47.0586 | (7) 0.00023506 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 66.6667/100 | (15) 0 | (17) (36, 36) | (18) X | (19) (164075, 164075) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 217.047 | (25) (37.3058, 2-120)
Output number: 1, Rank-319: (1) 64 | (2) 1525 | (3)4.19672/100 | (4) 17, 17 | (5) 79.3143 | (6) 45.0873 | (7) 0.00018983 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.8889/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (206142, 206142) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 203.405 | (25) (33.4695, 3-2)
Output number: 1, Rank-573: (1) 57 | (2) 1502 | (3)3.79494/100 | (4) 56, 56 | (5) 47.1197 | (6) 57.4977 | (7) 0.00023008 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 57.7778/100 | (15) 0 | (17) (56, 56) | (18) X | (19) (270175, 270175) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 237.202 | (25) (36.3204, 14-137)
Output number: 1, Rank-635: (1) 51 | (2) 1238 | (3)4.11955/100 | (4) 20, 20 | (5) 64.531 | (6) 50.3249 | (7) 0.000178793 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 63.3333/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (163135, 163135) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 205.861 | (25) (34.4404, 140-121)
Output number: 1, Rank-148: (1) 70 | (2) 1153 | (3)6.07112/100 | (4) 29, 29 | (5) 66.8595 | (6) 49.4295 | (7) 0.000282053 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 64.4444/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (167007, 167007) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 175.507 | (25) (33.2987, 86-88)
Output number: 1, Rank-128: (1) 73 | (2) 1010 | (3)7.22772/100 | (4) 30, 30 | (5) 83.6856 | (6) 42.0714 | (7) 0.00026244 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 69.4444/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (163338, 163338) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 212.062 | (25) (34.3701, 64-91)
Output number: 1, Rank-103: (1) 90 | (2) 1038 | (3)8.67052/100 | (4) 40, 40 | (5) 90.0154 | (6) 39.837 | (7) 0.000235133 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.6667/100 | (15) 0 | (17) (40, 40) | (18) X | (19) (167402, 167402) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 196.316 | (25) (36.3532, 53-54)
Output number: 1, Rank-150: (1) 76 | (2) 1631 | (3)4.65972/100 | (4) 25, 25 | (5) 72.2876 | (6) 48.7824 | (7) 0.000145339 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.2222/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (190599, 190599) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 216.669 | (25) (35.0864, 54-52)
Output number: 1, Rank-129: (1) 76 | (2) 1468 | (3)5.17711/100 | (4) 27, 27 | (5) 73.7163 | (6) 47.6906 | (7) 0.000218854 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.2222/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (246293, 246293) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 207.328 | (25) (33.3319, 140-125)
Output number: 1, Rank-104: (1) 77 | (2) 1060 | (3)7.26415/100 | (4) 43, 43 | (5) 86.5033 | (6) 40.951 | (7) 0.000279985 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70.5556/100 | (15) 0 | (17) (43, 43) | (18) X | (19) (191497, 191497) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 183.092 | (25) (34.028, 60-51)
Output number: 1, Rank-83: (1) 76 | (2) 1188 | (3)6.39731/100 | (4) 50, 50 | (5) 68.9581 | (6) 48.7146 | (7) 0.00019402 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 65/100 | (15) 0 | (17) (50, 50) | (18) X | (19) (289599, 289599) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 222.332 | (25) (34.1547, 132-12)
Output number: 1, Rank-277: (1) 68 | (2) 836 | (3)8.13397/100 | (4) 15, 15 | (5) 111.574 | (6) 30.2947 | (7) 0.000270126 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 78.3333/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (65629, 65629) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 204.846 | (25) (34.8142, 133-3)
Output number: 1, Rank-305: (1) 75 | (2) 1451 | (3)5.16885/100 | (4) 26, 26 | (5) 81.1638 | (6) 44.4963 | (7) 0.000200869 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 69.4444/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (161213, 161213) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 206.061 | (25) (33.3976, 80-63)
Output number: 1, Rank-49: (1) 79 | (2) 1431 | (3)5.52061/100 | (4) 53, 53 | (5) 69.8078 | (6) 48.1616 | (7) 0.000191019 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 65/100 | (15) 0 | (17) (53, 53) | (18) X | (19) (268411, 268411) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 189.275 | (25) (34.1937, 138-21)
Output number: 1, Rank-434: (1) 64 | (2) 878 | (3)7.28929/100 | (4) 36, 36 | (5) 112.312 | (6) 29.9577 | (7) 0.000216603 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 78.8889/100 | (15) 0 | (17) (36, 36) | (18) X | (19) (100069, 100069) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 211.975 | (25) (33.3109, 74-72)
Output number: 1, Rank-648: (1) 77 | (2) 1041 | (3)7.39673/100 | (4) 16, 16 | (5) 83.7486 | (6) 42.6264 | (7) 0.000264026 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (16, 16) | (18) X | (19) (179805, 179805) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 202.71 | (25) (33.6126, 76-83)
Output number: 1, Rank-169: (1) 70 | (2) 1521 | (3)4.60224/100 | (4) 28, 28 | (5) 108.698 | (6) 32.3223 | (7) 0.000184441 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 78.3333/100 | (15) 0 | (17) (28, 28) | (18) X | (19) (125080, 125080) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 210.479 | (25) (34.0515, 18-12)
