#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-random-4-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00275716 seconds
Distributing the actor graph took: 41.5013 seconds
Added actors in: 0.471613 seconds.
Initialized connections of actors in: 0.0464006 seconds.
Async Migration only
Output number: 1, Rank-20: (1) 1 | (2) 1713 | (3)0.0583771/100 | (4) 189, 189 | (5) 4.28038 | (6) 67.2325 | (7) 0.000142246 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (116118, 116118) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.3573 | (25) (0.44843, 134-36) | (26) 100605 | (27) -0.63486
Output number: 1, Rank-30: (1) 67 | (2) 1605 | (3)4.17445/100 | (4) 232, 232 | (5) 97.4722 | (6) 31.141 | (7) 7.0098e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.1111/100 | (15) 0 | (17) (232, 232) | (18) X | (19) (145769, 145769) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1765.36 | (25) (33.5648, 13-8) | (26) 94497 | (27) -0.33234
Output number: 1, Rank-91: (1) 62 | (2) 1699 | (3)3.64921/100 | (4) 247, 247 | (5) 8.47091 | (6) 66.8773 | (7) 0.000249304 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.6667/100 | (15) 0 | (17) (247, 247) | (18) X | (19) (118729, 118729) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 316.711 | (25) (33.1084, 57-86) | (26) 98492 | (27) -0.7216
Output number: 1, Rank-74: (1) 0 | (2) 1718 | (3)0/100 | (4) 185, 185 | (5) 4.02969 | (6) 69.5511 | (7) 0.000112833 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40.5556/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (107750, 107750) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.776 | (25) (0.41497, 100-125) | (26) 96455 | (27) -0.75474
Output number: 1, Rank-32: (1) 5 | (2) 1717 | (3)0.291206/100 | (4) 184, 184 | (5) 4.12166 | (6) 70.0054 | (7) 0.000133842 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.1111/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (112831, 112831) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 62.7407 | (25) (0.42925, 30-24) | (26) 316670 | (27) -0.6942
Output number: 1, Rank-88: (1) 2 | (2) 1719 | (3)0.116347/100 | (4) 183, 183 | (5) 3.94843 | (6) 68.8343 | (7) 9.18e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (106439, 106439) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 62.8914 | (25) (0.4795, 21-117) | (26) 89589 | (27) -1.03478
Output number: 1, Rank-75: (1) 0 | (2) 1708 | (3)0/100 | (4) 184, 184 | (5) 3.99946 | (6) 67.2767 | (7) 9.7917e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (106672, 106672) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.0326 | (25) (0.51357, 85-130) | (26) 106823 | (27) -0.28042
Output number: 1, Rank-76: (1) 0 | (2) 1708 | (3)0/100 | (4) 182, 182 | (5) 3.89759 | (6) 67.8733 | (7) 0.000105358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (107835, 107835) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 61.8175 | (25) (0.43398, 96-139) | (26) 98840 | (27) -1.4182e-12
Output number: 1, Rank-35: (1) 0 | (2) 1719 | (3)0/100 | (4) 183, 183 | (5) 4.22658 | (6) 68.5591 | (7) 6.8234e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (109483, 109483) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.6756 | (25) (0.55365, 41-22) | (26) 335886 | (27) -0.32453
Output number: 1, Rank-90: (1) 0 | (2) 1705 | (3)0/100 | (4) 183, 183 | (5) 4.04073 | (6) 69.154 | (7) 7.2962e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40.5556/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (109609, 109609) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.4049 | (25) (0.50618, 8-96) | (26) 78331 | (27) -0.67106
Output number: 1, Rank-36: (1) 2 | (2) 1721 | (3)0.116212/100 | (4) 187, 187 | (5) 4.01121 | (6) 68.1608 | (7) 9.068e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (106620, 106620) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.0189 | (25) (0.46963, 52-37) | (26) 12183 | (27) -0.31931
Output number: 1, Rank-92: (1) 0 | (2) 1718 | (3)0/100 | (4) 185, 185 | (5) 3.89605 | (6) 68.6164 | (7) 0.000109391 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (104526, 104526) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.6394 | (25) (0.4594, 39-107) | (26) 98399 | (27) -1.0192
Output number: 1, Rank-78: (1) 1 | (2) 1717 | (3)0.0582411/100 | (4) 180, 180 | (5) 3.98862 | (6) 67.9743 | (7) 0.000115952 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (180, 180) | (18) X | (19) (106209, 106209) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 62.8331 | (25) (0.42725, 122-112) | (26) 92052 | (27) -0.7284
Output number: 1, Rank-37: (1) 0 | (2) 1719 | (3)0/100 | (4) 183, 183 | (5) 4.14168 | (6) 67.458 | (7) 0.000124027 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (107157, 107157) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.3404 | (25) (0.49423, 48-22) | (26) 340257 | (27) -0.32688
Output number: 1, Rank-93: (1) 2 | (2) 1719 | (3)0.116347/100 | (4) 187, 187 | (5) 3.86713 | (6) 66.8642 | (7) 5.3387e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.8889/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (103248, 103248) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.6232 | (25) (0.46435, 39-99) | (26) 101062 | (27) -0.33486
Output number: 1, Rank-79: (1) 1 | (2) 1706 | (3)0.0586166/100 | (4) 187, 187 | (5) 4.14688 | (6) 68.8266 | (7) 0.000122677 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (111818, 111818) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.3325 | (25) (0.43537, 143-107) | (26) 88817 | (27) -0.32148
Output number: 1, Rank-39: (1) 4 | (2) 1718 | (3)0.232829/100 | (4) 194, 194 | (5) 4.534 | (6) 66.7433 | (7) 6.2676e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (194, 194) | (18) X | (19) (117867, 117867) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 69.8508 | (25) (0.49007, 47-21) | (26) 312157 | (27) -0.75198
Output number: 1, Rank-94: (1) 32 | (2) 1277 | (3)2.50587/100 | (4) 118, 118 | (5) 162.991 | (6) 6.42505 | (7) 0.000107782 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 93.8889/100 | (15) 0 | (17) (118, 118) | (18) X | (19) (84414, 84414) | (20) 1 | (21) 1 | (22) 0 | (23) 5 | (24) 3082.47 | (25) (33.4146, 60-80) | (26) 1 | (27) 162.925
Output number: 1, Rank-80: (1) 68 | (2) 1697 | (3)4.00707/100 | (4) 256, 256 | (5) 10.1908 | (6) 63.5187 | (7) 7.3965e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40.5556/100 | (15) 0 | (17) (256, 256) | (18) X | (19) (140609, 140609) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 316.492 | (25) (33.5639, 132-135) | (26) 10686 | (27) -0.80239
Output number: 1, Rank-40: (1) 0 | (2) 1706 | (3)0/100 | (4) 190, 190 | (5) 4.18814 | (6) 68.7207 | (7) 8.237e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (115705, 115705) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.0554 | (25) (0.51265, 48-11) | (26) 334059 | (27) -0.6309
Output number: 1, Rank-96: (1) 5 | (2) 1717 | (3)0.291206/100 | (4) 192, 192 | (5) 3.78954 | (6) 67.851 | (7) 0.000108479 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (192, 192) | (18) X | (19) (102672, 102672) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.7126 | (25) (0.52031, 61-105) | (26) 111844 | (27) -0.71682
Output number: 1, Rank-81: (1) 83 | (2) 1684 | (3)4.92874/100 | (4) 269, 269 | (5) 5.34627 | (6) 64.0038 | (7) 0.000132907 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.3333/100 | (15) 0 | (17) (269, 269) | (18) X | (19) (147341, 147341) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 93.5675 | (25) (0.43834, 114-132) | (26) 69665 | (27) -0.2393
Output number: 1, Rank-42: (1) 18 | (2) 1717 | (3)1.04834/100 | (4) 208, 208 | (5) 4.27033 | (6) 67.5215 | (7) 9.7872e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (208, 208) | (18) X | (19) (116282, 116282) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 71.6601 | (25) (0.44689, 30-60) | (26) 17426 | (27) -1.12194
Output number: 1, Rank-99: (1) 0 | (2) 1719 | (3)0/100 | (4) 188, 188 | (5) 4.01341 | (6) 66.0824 | (7) 1.27e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.8889/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (106441, 106441) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.7765 | (25) (0.44753, 54-120) | (26) 104147 | (27) -1.01162
Output number: 1, Rank-56: (1) 0 | (2) 1718 | (3)0/100 | (4) 190, 190 | (5) 3.98939 | (6) 66.9904 | (7) 0.000120644 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.8889/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (107438, 107438) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.3345 | (25) (0.47245, 109-92) | (26) 111848 | (27) -1.05554
Output number: 1, Rank-43: (1) 7 | (2) 1716 | (3)0.407925/100 | (4) 187, 187 | (5) 3.89147 | (6) 66.0811 | (7) 0.000100187 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.3333/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (102934, 102934) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.7011 | (25) (0.43937, 42-74) | (26) 89963 | (27) -0.36582
Output number: 1, Rank-100: (1) 0 | (2) 1718 | (3)0/100 | (4) 182, 182 | (5) 3.76713 | (6) 66.719 | (7) 7.8526e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.8889/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (100743, 100743) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.7091 | (25) (0.48459, 59-106) | (26) 116055 | (27) -0.36593
Output number: 1, Rank-57: (1) 0 | (2) 1716 | (3)0/100 | (4) 185, 185 | (5) 4.16443 | (6) 70.1095 | (7) 0.000113319 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.1111/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (108592, 108592) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.553 | (25) (0.50705, 123-101) | (26) 105765 | (27) -0.68937
Output number: 1, Rank-44: (1) 146 | (2) 1586 | (3)9.20555/100 | (4) 311, 311 | (5) 94.434 | (6) 32.5606 | (7) 0.000107667 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (311, 311) | (18) X | (19) (156333, 156333) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 2863.76 | (25) (34.0515, 61-77) | (26) 1 | (27) 34.7066
Output number: 1, Rank-101: (1) 1 | (2) 1706 | (3)0.0586166/100 | (4) 188, 188 | (5) 4.04235 | (6) 66.7581 | (7) 6.0732e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.8889/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (109518, 109518) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.4521 | (25) (0.44386, 61-133) | (26) 103739 | (27) -0.54656
Output number: 1, Rank-58: (1) 0 | (2) 1715 | (3)0/100 | (4) 183, 183 | (5) 3.99732 | (6) 67.7058 | (7) 0.000109382 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (106008, 106008) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.2337 | (25) (0.45512, 142-86) | (26) 116205 | (27) -0.32214
Output number: 1, Rank-45: (1) 33 | (2) 1383 | (3)2.38612/100 | (4) 79, 79 | (5) 159.49 | (6) 8.6537 | (7) 7.5449e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 93.3333/100 | (15) 0 | (17) (79, 79) | (18) X | (19) (56759, 56759) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2616.83 | (25) (33.8751, 68-61) | (26) 5275 | (27) 65.6902
Output number: 1, Rank-103: (1) 0 | (2) 1718 | (3)0/100 | (4) 182, 182 | (5) 3.90847 | (6) 67.3912 | (7) 5.0857e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (102663, 102663) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.1068 | (25) (0.43768, 74-125) | (26) 120209 | (27) -0.33816
Output number: 1, Rank-59: (1) 0 | (2) 1717 | (3)0/100 | (4) 186, 186 | (5) 3.95936 | (6) 67.8135 | (7) 8.1555e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (103857, 103857) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.0585 | (25) (0.42639, 109-81) | (26) 7756 | (27) -0.70907
Output number: 1, Rank-48: (1) 23 | (2) 1713 | (3)1.34267/100 | (4) 204, 204 | (5) 5.89379 | (6) 68.1822 | (7) 6.1642e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.1111/100 | (15) 0 | (17) (204, 204) | (18) X | (19) (112105, 112105) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 170.013 | (25) (33.4532, 56-60) | (26) 9 | (27) -0.09954
Output number: 1, Rank-104: (1) 0 | (2) 1704 | (3)0/100 | (4) 183, 183 | (5) 3.82198 | (6) 68.3578 | (7) 8.6908e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (105582, 105582) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 60.9564 | (25) (0.41259, 78-136) | (26) 120538 | (27) -0.2356
Output number: 1, Rank-60: (1) 1 | (2) 1720 | (3)0.0581395/100 | (4) 188, 188 | (5) 3.94893 | (6) 68.3746 | (7) 0.000138605 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (105749, 105749) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.6049 | (25) (0.55794, 114-73) | (26) 3213 | (27) -1.12877
Output number: 1, Rank-50: (1) 0 | (2) 1715 | (3)0/100 | (4) 188, 188 | (5) 4.16111 | (6) 67.6148 | (7) 8.0399e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (112268, 112268) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.3363 | (25) (0.42684, 17-64) | (26) 39389 | (27) -0.68749
Output number: 1, Rank-108: (1) 0 | (2) 1720 | (3)0/100 | (4) 187, 187 | (5) 4.06243 | (6) 68.7607 | (7) 0.00010446 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (109336, 109336) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.8749 | (25) (0.43247, 42-116) | (26) 90669 | (27) -0.34681
Output number: 1, Rank-61: (1) 0 | (2) 1716 | (3)0/100 | (4) 179, 179 | (5) 3.88195 | (6) 67.5804 | (7) 0.000139584 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (179, 179) | (18) X | (19) (102915, 102915) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.4269 | (25) (0.39563, 124-77) | (26) 6720 | (27) -0.32371
Output number: 1, Rank-52: (1) 0 | (2) 1711 | (3)0/100 | (4) 183, 183 | (5) 4.11475 | (6) 71.0682 | (7) 0.000128327 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.6667/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (111430, 111430) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.4349 | (25) (0.61491, 2-54) | (26) 10549 | (27) -0.76203
Output number: 1, Rank-109: (1) 0 | (2) 1724 | (3)0/100 | (4) 187, 187 | (5) 4.21154 | (6) 65.8418 | (7) 5.9994e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.8889/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (110946, 110946) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.1403 | (25) (0.47446, 37-123) | (26) 87093 | (27) -0.66909
Output number: 1, Rank-62: (1) 0 | (2) 1713 | (3)0/100 | (4) 190, 190 | (5) 4.20565 | (6) 69.5398 | (7) 0.000121399 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40.5556/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (111058, 111058) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.9351 | (25) (0.45171, 136-77) | (26) 2275 | (27) -0.67566
Output number: 1, Rank-54: (1) 0 | (2) 1718 | (3)0/100 | (4) 185, 185 | (5) 4.04153 | (6) 69.0592 | (7) 6.6628e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40.5556/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (109282, 109282) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 62.9458 | (25) (0.49556, 24-49) | (26) 14607 | (27) -0.41131
Output number: 1, Rank-84: (1) 0 | (2) 1719 | (3)0/100 | (4) 182, 182 | (5) 3.84357 | (6) 66.6066 | (7) 7.0089e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.8889/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (102672, 102672) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.3388 | (25) (0.41178, 22-78) | (26) 99375 | (27) -0.35977
Output number: 1, Rank-82: (1) 47 | (2) 1315 | (3)3.57414/100 | (4) 72, 72 | (5) 136.053 | (6) 18.7949 | (7) 0.000137455 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 85.5556/100 | (15) 0 | (17) (72, 72) | (18) X | (19) (75327, 75327) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2193.16 | (25) (33.8977, 128-142) | (26) 1 | (27) 64.996
Output number: 1, Rank-55: (1) 0 | (2) 1719 | (3)0/100 | (4) 188, 188 | (5) 4.31965 | (6) 68.774 | (7) 8.8896e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40.5556/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (111946, 111946) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 68.268 | (25) (0.57998, 24-41) | (26) 332017 | (27) -0.6746
Output number: 1, Rank-85: (1) 0 | (2) 1716 | (3)0/100 | (4) 184, 184 | (5) 3.98302 | (6) 67.0768 | (7) 0.000115071 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (106252, 106252) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.1636 | (25) (0.46747, 17-96) | (26) 90576 | (27) -0.31371
Output number: 1, Rank-83: (1) 6 | (2) 1158 | (3)0.518135/100 | (4) 63, 63 | (5) 145.262 | (6) 15.4334 | (7) 2.5388e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 88.8889/100 | (15) 0 | (17) (63, 63) | (18) X | (19) (45430, 45430) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2061.79 | (25) (33.4187, 142-136) | (26) 1 | (27) 97.9583
Output number: 1, Rank-95: (1) 13 | (2) 1211 | (3)1.07349/100 | (4) 88, 88 | (5) 171.426 | (6) 3.5575 | (7) 8.739e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 96.6667/100 | (15) 0 | (17) (88, 88) | (18) X | (19) (53869, 53869) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2881.29 | (25) (40.1972, 66-70) | (26) 1 | (27) 64.4844
Output number: 1, Rank-66: (1) 8 | (2) 1142 | (3)0.700525/100 | (4) 91, 91 | (5) 175.743 | (6) 1.68182 | (7) 0.00013547 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 98.3333/100 | (15) 0 | (17) (91, 91) | (18) X | (19) (53181, 53181) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 3012.39 | (25) (33.646, 79-70) | (26) 1 | (27) 230.737
Output number: 1, Rank-28: (1) 46 | (2) 1465 | (3)3.13993/100 | (4) 176, 176 | (5) 123.103 | (6) 21.7205 | (7) 0.000136397 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 80/100 | (15) 0 | (17) (176, 176) | (18) X | (19) (124112, 124112) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1936.77 | (25) (34.9477, 10-2) | (26) 62289 | (27) -0.30634
Output number: 1, Rank-29: (1) 4 | (2) 1231 | (3)0.324939/100 | (4) 54, 54 | (5) 139.023 | (6) 19.2098 | (7) 5.7405e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 87.7778/100 | (15) 0 | (17) (54, 54) | (18) X | (19) (43761, 43761) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 1768.94 | (25) (33.4581, 0-5) | (26) 1 | (27) 195.047
Output number: 1, Rank-107: (1) 5 | (2) 1190 | (3)0.420168/100 | (4) 66, 66 | (5) 154.941 | (6) 10.673 | (7) 4.431e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 91.6667/100 | (15) 0 | (17) (66, 66) | (18) X | (19) (47889, 47889) | (20) 1 | (21) 1 | (22) 0 | (23) 3 | (24) 2161.26 | (25) (33.6439, 5-139) | (26) 1 | (27) 97.6399
Output number: 1, Rank-77: (1) 88 | (2) 1584 | (3)5.55556/100 | (4) 266, 266 | (5) 109.699 | (6) 25.3789 | (7) 0.000136941 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 75/100 | (15) 0 | (17) (266, 266) | (18) X | (19) (159414, 159414) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 2210.85 | (25) (33.1287, 138-135) | (26) 1 | (27) 129.154
Output number: 1, Rank-67: (1) 23 | (2) 644 | (3)3.57143/100 | (4) 150, 150 | (5) 174.312 | (6) 2.23108 | (7) 0.000106287 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 97.7778/100 | (15) 0 | (17) (150, 150) | (18) X | (19) (90362, 90362) | (20) 1 | (21) 1 | (22) 0 | (23) 37 | (24) 3194.16 | (25) (33.4444, 78-85) | (26) 1 | (27) 1178.39
Output number: 1, Rank-46: (1) 82 | (2) 1619 | (3)5.06485/100 | (4) 259, 259 | (5) 91.2712 | (6) 33.4181 | (7) 9.9585e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 68.8889/100 | (15) 0 | (17) (259, 259) | (18) X | (19) (133475, 133475) | (20) 1 | (21) 1 | (22) 0 | (23) 13 | (24) 2544.85 | (25) (33.2767, 65-56) | (26) 1 | (27) 2.97197
