#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-1-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00140804 seconds
Distributing the actor graph took: 43.3275 seconds
Added actors in: 1.76254 seconds.
Initialized connections of actors in: 0.0487924 seconds.
Async Migration only
Output number: 1, Rank-18: (1) 245 | (2) 1650 | (3)14.8485/100 | (4) 984, 984 | (5) 23.031 | (6) 43.2205 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (984, 984) | (18) X | (19) (374261, 374261) | (20) 1 | (21) 0 | (22) 0 | (23) 13 | (24) 691.499 | (25) (33.4254, 14-1) | (26) 287 | (27) 37.3734
Output number: 2, Rank-23: (1) 61 | (2) 212 | (3)28.7736/100 | (4) 723, 723 | (5) 343.012 | (6) 5.0868 | (7) 0.000120933 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.005 | (14) 96.6667/100 | (15) 0 | (17) (723, 723) | (18) X | (19) (511815, 248135) | (20) 1 | (21) 0 | (22) 0 | (23) 128 | (24) 5219.04 | (25) (34.941, 83-71) | (26) 1 | (27) 1729.86
Output number: 3, Rank-8: (1) 316 | (2) 1193 | (3)26.4878/100 | (4) 1052, 1052 | (5) 366.038 | (6) 41.5079 | (7) 0.000630205 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 75.3704/100 | (15) 0 | (17) (1052, 1052) | (18) X | (19) (1088504, 354313) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 4466.48 | (25) (33.5557, 84-80) | (26) 891 | (27) 65.5625
Output number: 3, Rank-10: (1) 0 | (2) 865 | (3)0/100 | (4) 492, 492 | (5) 409.495 | (6) 41.7189 | (7) 0.000131754 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 83.5185/100 | (15) 0 | (17) (492, 492) | (18) X | (19) (555156, 165647) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3821.13 | (25) (33.9894, 142-135) | (26) 13905 | (27) -0.43382
Output number: 3, Rank-15: (1) 58 | (2) 3460 | (3)1.6763/100 | (4) 180, 180 | (5) 457.155 | (6) 23.3003 | (7) 6.8221e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 88.8889/100 | (15) 0 | (17) (180, 180) | (18) X | (19) (202202, 60185) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4223.91 | (25) (34.2088, 76-67) | (26) 3496 | (27) -0.3766
Output number: 3, Rank-22: (1) 135 | (2) 4875 | (3)2.76923/100 | (4) 868, 868 | (5) 314.092 | (6) 55.3064 | (7) 0.00012809 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 68.3333/100 | (15) 0 | (17) (868, 868) | (18) X | (19) (913226, 292736) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3147.74 | (25) (33.9412, 78-73) | (26) 14934 | (27) -0.95632
Output number: 3, Rank-18: (1) 246 | (2) 5219 | (3)4.71355/100 | (4) 985, 985 | (5) 72.5791 | (6) 123.259 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 36.1111/100 | (15) 0 | (17) (985, 985) | (18) X | (19) (1045406, 334120) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 762.094 | (25) (33.7317, 16-1) | (26) 558 | (27) 0.3957
Output number: 3, Rank-12: (1) 5 | (2) 5274 | (3)0.0948047/100 | (4) 755, 755 | (5) 33.2784 | (6) 156.355 | (7) 6.9513e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 35/100 | (15) 0 | (17) (755, 755) | (18) X | (19) (815233, 254435) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 290.226 | (25) (0.56282, 142-91) | (26) 81640 | (27) -0.64283
Output number: 3, Rank-14: (1) 202 | (2) 5263 | (3)3.83812/100 | (4) 954, 954 | (5) 38.1518 | (6) 135.303 | (7) 8.8031e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 32.037/100 | (15) 0 | (17) (954, 954) | (18) X | (19) (967404, 318118) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 358.766 | (25) (0.52946, 26-48) | (26) 128 | (27) -0.76778
Output number: 3, Rank-25: (1) 0 | (2) 24 | (3)0/100 | (4) 192, 192 | (5) 314.832 | (6) 79.2023 | (7) 4.2865e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 72.963/100 | (15) 0 | (17) (192, 192) | (18) X | (19) (242490, 64815) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2758.75 | (25) (34.3875, 143-1) | (26) 102 | (27) 97.244
Output number: 3, Rank-2: (1) 141 | (2) 5281 | (3)2.66995/100 | (4) 868, 868 | (5) 35.7038 | (6) 143.667 | (7) 9.2236e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 33.1481/100 | (15) 0 | (17) (868, 868) | (18) X | (19) (905387, 291112) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 321.699 | (25) (0.5613, 27-84) | (26) 1722 | (27) -0.71224
Output number: 3, Rank-26: (1) 12 | (2) 5323 | (3)0.225437/100 | (4) 757, 757 | (5) 31.0202 | (6) 162.255 | (7) 0.000101358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 35.7407/100 | (15) 0 | (17) (757, 757) | (18) X | (19) (783904, 254702) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 284.524 | (25) (0.54234, 108-42) | (26) 294861 | (27) -0.68568
Output number: 3, Rank-3: (1) 93 | (2) 5280 | (3)1.76136/100 | (4) 826, 826 | (5) 36.1801 | (6) 144.854 | (7) 9.0159e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 33.5185/100 | (15) 0 | (17) (826, 826) | (18) X | (19) (897722, 278164) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 307.354 | (25) (0.55045, 50-114) | (26) 198 | (27) -1.37605
Output number: 3, Rank-21: (1) 0 | (2) 5320 | (3)0/100 | (4) 733, 733 | (5) 30.8847 | (6) 159.588 | (7) 0.000146192 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 35.1852/100 | (15) 0 | (17) (733, 733) | (18) X | (19) (776251, 246288) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 275.386 | (25) (0.54749, 131-50) | (26) 204392 | (27) -0.40003
Output number: 3, Rank-7: (1) 139 | (2) 5111 | (3)2.71962/100 | (4) 871, 871 | (5) 254.028 | (6) 73.7965 | (7) 9.9571e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 60.5556/100 | (15) 0 | (17) (871, 871) | (18) X | (19) (915811, 292675) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2726.98 | (25) (33.836, 69-85) | (26) 20323 | (27) -0.71022
Output number: 3, Rank-4: (1) 128 | (2) 5273 | (3)2.42746/100 | (4) 862, 862 | (5) 47.9921 | (6) 143.856 | (7) 7.6838e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 35.3704/100 | (15) 0 | (17) (862, 862) | (18) X | (19) (917724, 288510) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 682.175 | (25) (33.2196, 13-143) | (26) 2976 | (27) -0.23802
Output number: 3, Rank-11: (1) 161 | (2) 5261 | (3)3.06025/100 | (4) 895, 895 | (5) 38.916 | (6) 136.789 | (7) 9.813e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 32.4074/100 | (15) 0 | (17) (895, 895) | (18) X | (19) (965324, 300974) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 338.019 | (25) (0.55719, 74-142) | (26) 20930 | (27) -0.26049
Output number: 3, Rank-17: (1) 270 | (2) 5235 | (3)5.15759/100 | (4) 1009, 1009 | (5) 40.9362 | (6) 145.529 | (7) 5.615e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 34.4444/100 | (15) 0 | (17) (1009, 1009) | (18) X | (19) (1014583, 341002) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 383.319 | (25) (0.54373, 39-28) | (26) 216 | (27) 0.72701
Output number: 3, Rank-24: (1) 331 | (2) 3376 | (3)9.8045/100 | (4) 1075, 1075 | (5) 237.1 | (6) 74.3727 | (7) 4.5277e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 57.5926/100 | (15) 0 | (17) (1075, 1075) | (18) X | (19) (1135337, 361305) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2706.59 | (25) (34.2373, 142-12) | (26) 60096 | (27) -1.03264
Output number: 3, Rank-13: (1) 112 | (2) 2081 | (3)5.38203/100 | (4) 860, 860 | (5) 385.832 | (6) 36.2697 | (7) 0.00054876 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540.001 | (14) 78.1481/100 | (15) 0 | (17) (860, 860) | (18) X | (19) (952280, 289821) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 3837.85 | (25) (33.736, 137-132) | (26) 1 | (27) 33.5096
Output number: 3, Rank-1: (1) 393 | (2) 1103 | (3)35.6301/100 | (4) 1072, 1072 | (5) 382.718 | (6) 34.7522 | (7) 5.397e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540.001 | (14) 77.2222/100 | (15) 0 | (17) (1072, 1072) | (18) X | (19) (1117946, 359584) | (20) 1 | (21) 0 | (22) 0 | (23) 24 | (24) 4870.01 | (25) (33.8954, 68-59) | (26) 1 | (27) 45.2948
Output number: 3, Rank-20: (1) 5 | (2) 800 | (3)0.625/100 | (4) 218, 218 | (5) 379.222 | (6) 53.7122 | (7) 0.000606912 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540.002 | (14) 80/100 | (15) 0 | (17) (218, 218) | (18) X | (19) (268909, 74090) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 3471.34 | (25) (33.5283, 3-11) | (26) 1 | (27) 164.145
Output number: 3, Rank-0: (1) 86 | (2) 199 | (3)43.2161/100 | (4) 510, 510 | (5) 470.691 | (6) 17.7427 | (7) 8.2328e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540.001 | (14) 90.3704/100 | (15) 0 | (17) (510, 510) | (18) X | (19) (598211, 173980) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 5038.45 | (25) (36.0893, 60-75) | (26) 1 | (27) 31.6293
Output number: 3, Rank-9: (1) 38 | (2) 1946 | (3)1.95272/100 | (4) 198, 198 | (5) 439.364 | (6) 31.6788 | (7) 0.000414615 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540.002 | (14) 87.2222/100 | (15) 0 | (17) (198, 198) | (18) X | (19) (218410, 65351) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 4566.42 | (25) (37.483, 74-71) | (26) 1 | (27) 177.748
Output number: 3, Rank-6: (1) 1 | (2) 78 | (3)1.28205/100 | (4) 272, 272 | (5) 418.392 | (6) 40.0531 | (7) 0.000113366 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540.002 | (14) 84.8148/100 | (15) 0 | (17) (272, 272) | (18) X | (19) (341660, 91383) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 3700.82 | (25) (33.661, 4-143) | (26) 1 | (27) 66.6962
Output number: 3, Rank-19: (1) 155 | (2) 246 | (3)63.0081/100 | (4) 862, 862 | (5) 379.592 | (6) 37.5573 | (7) 0.000115003 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540.002 | (14) 77.2222/100 | (15) 0 | (17) (862, 862) | (18) X | (19) (958794, 292502) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 3755.34 | (25) (34.0552, 1-16) | (26) 1 | (27) 33.1008
Output number: 3, Rank-16: (1) 175 | (2) 4539 | (3)3.85547/100 | (4) 718, 718 | (5) 427.412 | (6) 24.482 | (7) 4.593e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540.003 | (14) 83.5185/100 | (15) 0 | (17) (718, 718) | (18) X | (19) (833275, 249032) | (20) 1 | (21) 0 | (22) 0 | (23) 14 | (24) 5240.47 | (25) (34.7364, 70-58) | (26) 1 | (27) 102.447
Output number: 3, Rank-5: (1) 279 | (2) 465 | (3)60/100 | (4) 996, 996 | (5) 384.602 | (6) 36.665 | (7) 2.5829e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540.003 | (14) 77.963/100 | (15) 0 | (17) (996, 996) | (18) X | (19) (1120783, 336761) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 3776.04 | (25) (34.0935, 12-134) | (26) 1 | (27) 66.9193
Output number: 3, Rank-23: (1) 61 | (2) 214 | (3)28.5047/100 | (4) 701, 701 | (5) 520.991 | (6) 5.77088 | (7) 0.000120933 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540.005 | (14) 97.4074/100 | (15) 0 | (17) (701, 701) | (18) X | (19) (749478, 237663) | (20) 1 | (21) 0 | (22) 0 | (23) 130 | (24) 6019.31 | (25) (34.7694, 83-71) | (26) 1 | (27) 2369.54
Output number: 3, Rank-27: (1) 240 | (2) 1456 | (3)16.4835/100 | (4) 955, 955 | (5) 263.146 | (6) 67.0649 | (7) 6.6862e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540.005 | (14) 61.1111/100 | (15) 0 | (17) (955, 955) | (18) X | (19) (1011538, 320783) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 2552.63 | (25) (34.0235, 135-6) | (26) 1 | (27) 32.5666
Output number: 4, Rank-8: (1) 316 | (2) 1193 | (3)26.4878/100 | (4) 1052, 1052 | (5) 499.101 | (6) 52.1049 | (7) 0.000630205 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 76.5278/100 | (15) 0 | (17) (1052, 1052) | (18) X | (19) (1397015, 308511) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4531.29 | (25) (33.7994, 84-80) | (26) 672 | (27) -0.48725
Output number: 4, Rank-9: (1) 41 | (2) 2327 | (3)1.76193/100 | (4) 201, 201 | (5) 574.92 | (6) 45.7084 | (7) 0.000414615 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 86.1111/100 | (15) 0 | (17) (201, 201) | (18) X | (19) (277116, 58706) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 4637.88 | (25) (36.6719, 66-78) | (26) 1 | (27) 177.525
Output number: 4, Rank-13: (1) 112 | (2) 3643 | (3)3.07439/100 | (4) 860, 860 | (5) 503.168 | (6) 51.4432 | (7) 0.00054876 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 76.9444/100 | (15) 0 | (17) (860, 860) | (18) X | (19) (1203573, 251293) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 4102.7 | (25) (33.8067, 137-136) | (26) 1 | (27) 0.57134
Output number: 4, Rank-3: (1) 94 | (2) 7072 | (3)1.32919/100 | (4) 827, 827 | (5) 45.8797 | (6) 196.357 | (7) 9.0159e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 33.6111/100 | (15) 0 | (17) (827, 827) | (18) X | (19) (1139958, 242236) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 308.41 | (25) (0.60784, 52-96) | (26) 12 | (27) -0.99555
Output number: 4, Rank-21: (1) 0 | (2) 7110 | (3)0/100 | (4) 733, 733 | (5) 39.4824 | (6) 212.813 | (7) 0.000146192 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 35/100 | (15) 0 | (17) (733, 733) | (18) X | (19) (991364, 215113) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 273.52 | (25) (0.55104, 123-61) | (26) 170445 | (27) -0.40003
Output number: 4, Rank-18: (1) 246 | (2) 7003 | (3)3.51278/100 | (4) 985, 985 | (5) 96.4123 | (6) 162.626 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 35.9722/100 | (15) 0 | (17) (985, 985) | (18) X | (19) (1334933, 289527) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 793.263 | (25) (33.6587, 16-3) | (26) 328 | (27) 0.78157
Output number: 4, Rank-10: (1) 0 | (2) 2445 | (3)0/100 | (4) 492, 492 | (5) 525.017 | (6) 61.6448 | (7) 0.000131754 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 81.3889/100 | (15) 0 | (17) (492, 492) | (18) X | (19) (699119, 143963) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4032.79 | (25) (33.5965, 136-139) | (26) 7962 | (27) -0.43382
Output number: 4, Rank-15: (1) 58 | (2) 5167 | (3)1.12251/100 | (4) 180, 180 | (5) 581.355 | (6) 40.0663 | (7) 6.8221e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 86.25/100 | (15) 0 | (17) (180, 180) | (18) X | (19) (254978, 52776) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4220.63 | (25) (34.0844, 78-67) | (26) 567 | (27) -0.3766
Output number: 4, Rank-7: (1) 139 | (2) 6839 | (3)2.03246/100 | (4) 871, 871 | (5) 334.806 | (6) 98.1014 | (7) 9.9571e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 60/100 | (15) 0 | (17) (871, 871) | (18) X | (19) (1171026, 255215) | (20) 1 | (21) 0 | (22) 0 | (23) 9 | (24) 2724.58 | (25) (33.5116, 75-86) | (26) 1 | (27) 2.85578
Output number: 4, Rank-22: (1) 135 | (2) 6507 | (3)2.07469/100 | (4) 868, 868 | (5) 407.52 | (6) 77.7661 | (7) 0.00012809 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 67.3611/100 | (15) 0 | (17) (868, 868) | (18) X | (19) (1167537, 254311) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3147.94 | (25) (33.9595, 78-73) | (26) 22653 | (27) -0.95632
Output number: 4, Rank-14: (1) 211 | (2) 7050 | (3)2.99291/100 | (4) 963, 963 | (5) 49.3435 | (6) 179.94 | (7) 8.8031e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 31.8056/100 | (15) 0 | (17) (963, 963) | (18) X | (19) (1248481, 281077) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 358.367 | (25) (0.61735, 27-48) | (26) 183 | (27) -1.07274
Output number: 4, Rank-2: (1) 141 | (2) 7072 | (3)1.99378/100 | (4) 868, 868 | (5) 45.7268 | (6) 192.236 | (7) 9.2236e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 32.9167/100 | (15) 0 | (17) (868, 868) | (18) X | (19) (1159670, 254283) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 317.907 | (25) (0.53826, 14-89) | (26) 32627 | (27) -0.71224
Output number: 4, Rank-26: (1) 12 | (2) 7116 | (3)0.168634/100 | (4) 757, 757 | (5) 39.8708 | (6) 217.024 | (7) 0.000101358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 35.5556/100 | (15) 0 | (17) (757, 757) | (18) X | (19) (1006462, 222558) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 281.913 | (25) (0.52619, 90-32) | (26) 233463 | (27) -0.68568
Output number: 4, Rank-17: (1) 270 | (2) 7024 | (3)3.84396/100 | (4) 1009, 1009 | (5) 53.0179 | (6) 192.572 | (7) 5.615e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 34.0278/100 | (15) 0 | (17) (1009, 1009) | (18) X | (19) (1311180, 296597) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 380.362 | (25) (0.57399, 79-49) | (26) 2462 | (27) -0.36415
Output number: 4, Rank-12: (1) 5 | (2) 7046 | (3)0.0709622/100 | (4) 755, 755 | (5) 42.2277 | (6) 209.184 | (7) 6.9513e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 34.8611/100 | (15) 0 | (17) (755, 755) | (18) X | (19) (1036448, 221215) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 284.803 | (25) (0.55974, 128-99) | (26) 263 | (27) -0.64283
Output number: 4, Rank-24: (1) 331 | (2) 3381 | (3)9.79/100 | (4) 1074, 1074 | (5) 321.321 | (6) 97.1981 | (7) 4.5277e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 58.0556/100 | (15) 0 | (17) (1074, 1074) | (18) X | (19) (1451144, 315807) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2971.69 | (25) (34.0603, 142-12) | (26) 17787 | (27) -1.03264
Output number: 4, Rank-4: (1) 129 | (2) 7056 | (3)1.82823/100 | (4) 863, 863 | (5) 68.829 | (6) 189.133 | (7) 7.6838e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 35.6944/100 | (15) 0 | (17) (863, 863) | (18) X | (19) (1170375, 252651) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 708.225 | (25) (33.3074, 14-143) | (26) 156 | (27) -0.23802
Output number: 4, Rank-11: (1) 161 | (2) 7050 | (3)2.28369/100 | (4) 895, 895 | (5) 49.517 | (6) 182.432 | (7) 9.813e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 32.0833/100 | (15) 0 | (17) (895, 895) | (18) X | (19) (1227507, 262183) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 339.489 | (25) (0.58493, 85-126) | (26) 7355 | (27) -0.26049
Output number: 4, Rank-1: (1) 394 | (2) 1226 | (3)32.137/100 | (4) 1073, 1073 | (5) 527.021 | (6) 40.7688 | (7) 5.397e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 78.75/100 | (15) 0 | (17) (1073, 1073) | (18) X | (19) (1432205, 314259) | (20) 1 | (21) 0 | (22) 0 | (23) 26 | (24) 5138.99 | (25) (34.0764, 68-59) | (26) 1 | (27) 110.449
Output number: 4, Rank-5: (1) 279 | (2) 465 | (3)60/100 | (4) 995, 995 | (5) 498.674 | (6) 51.5343 | (7) 2.5829e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 76.3889/100 | (15) 0 | (17) (995, 995) | (18) X | (19) (1412489, 291706) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3971.22 | (25) (33.8782, 9-138) | (26) 397 | (27) -0.68879
Output number: 4, Rank-19: (1) 155 | (2) 246 | (3)63.0081/100 | (4) 861, 861 | (5) 496.447 | (6) 53.0413 | (7) 0.000115003 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720.001 | (14) 76.25/100 | (15) 0 | (17) (861, 861) | (18) X | (19) (1212125, 253331) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 4114.04 | (25) (34.1753, 11-9) | (26) 1 | (27) 66.699
Output number: 4, Rank-27: (1) 240 | (2) 2614 | (3)9.18133/100 | (4) 955, 955 | (5) 339.985 | (6) 90.6536 | (7) 6.6862e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720.001 | (14) 59.7222/100 | (15) 0 | (17) (955, 955) | (18) X | (19) (1292296, 280758) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2612.38 | (25) (33.9162, 135-6) | (26) 1 | (27) 65.0484
Output number: 4, Rank-16: (1) 175 | (2) 6123 | (3)2.85808/100 | (4) 708, 708 | (5) 581.723 | (6) 28.9003 | (7) 4.593e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720.003 | (14) 84.7222/100 | (15) 0 | (17) (708, 708) | (18) X | (19) (1043035, 209760) | (20) 1 | (21) 0 | (22) 0 | (23) 17 | (24) 5263.3 | (25) (33.7968, 66-58) | (26) 1 | (27) 104.102
Output number: 4, Rank-25: (1) 1 | (2) 126 | (3)0.793651/100 | (4) 193, 193 | (5) 397.594 | (6) 113.256 | (7) 4.2865e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720.003 | (14) 70.8333/100 | (15) 0 | (17) (193, 193) | (18) X | (19) (299168, 56678) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 2824.48 | (25) (35.3088, 141-2) | (26) 1 | (27) 130.232
Output number: 4, Rank-6: (1) 1 | (2) 128 | (3)0.78125/100 | (4) 272, 272 | (5) 528.807 | (6) 63.1308 | (7) 0.000113366 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720.003 | (14) 82.0833/100 | (15) 0 | (17) (272, 272) | (18) X | (19) (421372, 79712) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 3800.67 | (25) (33.743, 8-135) | (26) 1 | (27) 100.179
Output number: 4, Rank-0: (1) 86 | (2) 199 | (3)43.2161/100 | (4) 506, 506 | (5) 618.139 | (6) 26.4483 | (7) 8.2328e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720.003 | (14) 89.4444/100 | (15) 0 | (17) (506, 506) | (18) X | (19) (746664, 148453) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 5020.43 | (25) (33.9683, 57-73) | (26) 1 | (27) -1.57375
Output number: 4, Rank-23: (1) 61 | (2) 214 | (3)28.5047/100 | (4) 701, 701 | (5) 699.259 | (6) 6.3493 | (7) 0.000120933 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720.003 | (14) 97.9167/100 | (15) 0 | (17) (701, 701) | (18) X | (19) (955051, 205573) | (20) 1 | (21) 0 | (22) 0 | (23) 145 | (24) 6087.24 | (25) (34.6935, 74-66) | (26) 1 | (27) 2677.8
