#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-32-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.44863 seconds
Distributing the actor graph took: 42.1073 seconds
Added actors in: 0.116455 seconds.
Initialized connections of actors in: 0.0522152 seconds.
Async Migration only
Output number: 1, Rank-9: (1) 23 | (2) 435 | (3)5.28736/100 | (4) 18, 18 | (5) 17.9686 | (6) 69.9332 | (7) 0.000371078 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.3333/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (67384, 67384) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 136.298 | (25) (32.9184, 67-57)
Output number: 1, Rank-56: (1) 50 | (2) 468 | (3)10.6838/100 | (4) 19, 19 | (5) 50.7564 | (6) 55.1275 | (7) 0.000305869 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 58.3333/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (29453, 29453) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 140.916 | (25) (35.7869, 118-7)
Output number: 1, Rank-569: (1) 47 | (2) 1687 | (3)2.78601/100 | (4) 14, 14 | (5) 37.7955 | (6) 61.5025 | (7) 0.000323269 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (48613, 48613) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 102.697 | (25) (33.1979, 57-82)
Output number: 1, Rank-744: (1) 28 | (2) 1721 | (3)1.62696/100 | (4) 31, 31 | (5) 14.1122 | (6) 71.0818 | (7) 0.000206865 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (96635, 96635) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 79.2542 | (25) (34.34, 141-135)
Output number: 1, Rank-504: (1) 50 | (2) 476 | (3)10.5042/100 | (4) 9, 9 | (5) 41.4625 | (6) 60.7871 | (7) 0.000386719 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 56.6667/100 | (15) 0 | (17) (9, 9) | (18) X | (19) (54578, 54578) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 139.273 | (25) (34.7767, 1-125)
Output number: 1, Rank-225: (1) 37 | (2) 527 | (3)7.02087/100 | (4) 19, 19 | (5) 25.4861 | (6) 67.1606 | (7) 0.000357708 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 51.1111/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (74131, 74131) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 144.479 | (25) (34.4921, 58-79)
Output number: 1, Rank-418: (1) 46 | (2) 1713 | (3)2.68535/100 | (4) 33, 33 | (5) 25.7078 | (6) 66.5224 | (7) 0.000334409 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 51.1111/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (106550, 106550) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 112.364 | (25) (33.9238, 0-18)
Output number: 1, Rank-461: (1) 24 | (2) 1664 | (3)1.44231/100 | (4) 17, 17 | (5) 15.7076 | (6) 70.6274 | (7) 0.000287855 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.7778/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (74969, 74969) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 103.926 | (25) (33.1287, 63-66)
Output number: 1, Rank-219: (1) 40 | (2) 516 | (3)7.75194/100 | (4) 14, 14 | (5) 31.7131 | (6) 63.2072 | (7) 0.000338826 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 52.2222/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (43803, 43803) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 135.823 | (25) (33.042, 64-86)
Output number: 1, Rank-759: (1) 55 | (2) 1623 | (3)3.38879/100 | (4) 13, 13 | (5) 37.943 | (6) 61.7342 | (7) 0.000311445 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (13, 13) | (18) X | (19) (50229, 50229) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 103.11 | (25) (33.0588, 140-136)
Output number: 1, Rank-169: (1) 34 | (2) 1542 | (3)2.20493/100 | (4) 16, 16 | (5) 24.6182 | (6) 73.04 | (7) 0.000314005 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 53.8889/100 | (15) 0 | (17) (16, 16) | (18) X | (19) (47601, 47601) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 106.658 | (25) (34.2127, 55-63)
Output number: 1, Rank-676: (1) 35 | (2) 1591 | (3)2.19987/100 | (4) 17, 17 | (5) 19.8574 | (6) 69.3075 | (7) 0.000297549 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 49.4444/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (74388, 74388) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 107.449 | (25) (34.4907, 126-136)
Output number: 1, Rank-784: (1) 37 | (2) 480 | (3)7.70833/100 | (4) 11, 11 | (5) 50.7232 | (6) 56.0509 | (7) 0.000312838 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 58.8889/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (31983, 31983) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 104.028 | (25) (33.8974, 55-65)
Output number: 1, Rank-600: (1) 46 | (2) 424 | (3)10.8491/100 | (4) 10, 10 | (5) 46.5342 | (6) 59.0779 | (7) 0.00038456 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 58.3333/100 | (15) 0 | (17) (10, 10) | (18) X | (19) (33371, 33371) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 102.107 | (25) (33.5217, 81-67)
Output number: 1, Rank-275: (1) 34 | (2) 399 | (3)8.5213/100 | (4) 24, 24 | (5) 22.5559 | (6) 66.6725 | (7) 0.000293974 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 49.4444/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (73913, 73913) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 108.2 | (25) (33.4712, 62-63)
Output number: 1, Rank-124: (1) 32 | (2) 1703 | (3)1.87904/100 | (4) 44, 44 | (5) 10.4844 | (6) 71.6754 | (7) 0.000386447 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 45.5556/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (95695, 95695) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 84.4723 | (25) (33.5385, 58-83)
Output number: 1, Rank-885: (1) 36 | (2) 526 | (3)6.84411/100 | (4) 22, 22 | (5) 26.5854 | (6) 64.0158 | (7) 0.000372885 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (70560, 70560) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 107.033 | (25) (33.3018, 57-68)
Output number: 1, Rank-108: (1) 55 | (2) 486 | (3)11.3169/100 | (4) 10, 10 | (5) 40.3817 | (6) 60.179 | (7) 0.00026693 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (10, 10) | (18) X | (19) (60530, 60530) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 135.023 | (25) (33.8431, 130-12)
Output number: 1, Rank-317: (1) 11 | (2) 1656 | (3)0.664251/100 | (4) 33, 33 | (5) 5.2623 | (6) 73.9413 | (7) 0.000361716 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 43.8889/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (73694, 73694) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 43.3092 | (25) (33.2717, 78-57)
Output number: 1, Rank-727: (1) 24 | (2) 1613 | (3)1.48791/100 | (4) 42, 42 | (5) 11.3168 | (6) 70.2741 | (7) 0.00035602 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 45/100 | (15) 0 | (17) (42, 42) | (18) X | (19) (83657, 83657) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 115.028 | (25) (33.9047, 129-143)
Output number: 1, Rank-636: (1) 10 | (2) 1556 | (3)0.642674/100 | (4) 34, 34 | (5) 5.53517 | (6) 75.2965 | (7) 0.00036226 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 44.4444/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (74342, 74342) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 76.8722 | (25) (33.3208, 6-142)
Output number: 1, Rank-863: (1) 34 | (2) 488 | (3)6.96721/100 | (4) 16, 16 | (5) 16.5663 | (6) 70.0675 | (7) 0.000300919 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.7778/100 | (15) 0 | (17) (16, 16) | (18) X | (19) (76774, 76774) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 105.454 | (25) (33.6919, 59-66)
Output number: 1, Rank-822: (1) 40 | (2) 416 | (3)9.61538/100 | (4) 15, 15 | (5) 25.9676 | (6) 65.7728 | (7) 0.000291919 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50.5556/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (59767, 59767) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 105.84 | (25) (33.5841, 88-76)
Output number: 1, Rank-300: (1) 26 | (2) 1661 | (3)1.56532/100 | (4) 48, 48 | (5) 7.75765 | (6) 72.3812 | (7) 0.000391989 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 44.4444/100 | (15) 0 | (17) (48, 48) | (18) X | (19) (89509, 89509) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 84.0069 | (25) (33.41, 3-1)
Output number: 1, Rank-379: (1) 19 | (2) 551 | (3)3.44828/100 | (4) 26, 26 | (5) 15.3221 | (6) 70.2948 | (7) 0.000249521 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (81227, 81227) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 107.165 | (25) (33.1175, 3-9)
Output number: 1, Rank-158: (1) 31 | (2) 1716 | (3)1.80653/100 | (4) 36, 36 | (5) 14.7327 | (6) 71.0646 | (7) 0.000291974 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (36, 36) | (18) X | (19) (89700, 89700) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 113.266 | (25) (34.3059, 86-63)
Output number: 1, Rank-540: (1) 50 | (2) 1706 | (3)2.93083/100 | (4) 30, 30 | (5) 19.3989 | (6) 69.3878 | (7) 0.000332205 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.8889/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (93851, 93851) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 142.747 | (25) (33.6199, 10-128)
Output number: 1, Rank-478: (1) 24 | (2) 526 | (3)4.56274/100 | (4) 31, 31 | (5) 14.0518 | (6) 72.5415 | (7) 0.000326414 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.7778/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (83470, 83470) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 111.134 | (25) (33.3109, 63-55)
Output number: 1, Rank-441: (1) 54 | (2) 485 | (3)11.134/100 | (4) 19, 19 | (5) 35.6214 | (6) 62.1512 | (7) 0.000287108 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 53.8889/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (56575, 56575) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 106.054 | (25) (33.6902, 12-8)
Output number: 1, Rank-357: (1) 45 | (2) 1711 | (3)2.63004/100 | (4) 27, 27 | (5) 23.9269 | (6) 67.4293 | (7) 0.000306159 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50.5556/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (91582, 91582) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 140.427 | (25) (32.9602, 7-8)
Output number: 1, Rank-29: (1) 26 | (2) 1503 | (3)1.72987/100 | (4) 20, 20 | (5) 16.4282 | (6) 70.6992 | (7) 0.000327116 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.3333/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (71970, 71970) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 105.108 | (25) (32.9028, 139-3)
Output number: 1, Rank-668: (1) 30 | (2) 1697 | (3)1.76783/100 | (4) 29, 29 | (5) 18.6719 | (6) 72.6156 | (7) 0.000273625 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50.5556/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (97547, 97547) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 108.503 | (25) (32.9152, 6-141)
Output number: 1, Rank-57: (1) 37 | (2) 396 | (3)9.34343/100 | (4) 19, 19 | (5) 51.5522 | (6) 55.1014 | (7) 0.000361094 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 58.8889/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (32305, 32305) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 106.317 | (25) (33.2562, 138-9)
Output number: 1, Rank-570: (1) 58 | (2) 1624 | (3)3.57143/100 | (4) 18, 18 | (5) 42.5743 | (6) 59.1868 | (7) 0.000326922 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 56.1111/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (42213, 42213) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 105.964 | (25) (33.3725, 81-82)
Output number: 1, Rank-745: (1) 41 | (2) 1702 | (3)2.40893/100 | (4) 24, 24 | (5) 26.3213 | (6) 66.1804 | (7) 0.000308088 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 51.1111/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (93228, 93228) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 107.963 | (25) (33.9712, 140-126)
Output number: 1, Rank-506: (1) 45 | (2) 1650 | (3)2.72727/100 | (4) 18, 18 | (5) 26.7388 | (6) 69.0183 | (7) 0.000349772 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 52.7778/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (103045, 103045) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 104.651 | (25) (33.3867, 3-140)
Output number: 1, Rank-226: (1) 40 | (2) 1701 | (3)2.35156/100 | (4) 31, 31 | (5) 24.6843 | (6) 66.5761 | (7) 0.000317078 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50.5556/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (83316, 83316) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 111.2 | (25) (33.6135, 88-69)
Output number: 1, Rank-419: (1) 36 | (2) 549 | (3)6.55738/100 | (4) 29, 29 | (5) 27.382 | (6) 65.0842 | (7) 0.000220029 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 51.1111/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (80944, 80944) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 111.45 | (25) (33.8545, 10-6)
Output number: 1, Rank-462: (1) 31 | (2) 524 | (3)5.91603/100 | (4) 30, 30 | (5) 25.6456 | (6) 65.2394 | (7) 0.000325726 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (73156, 73156) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 78.7424 | (25) (33.6343, 69-65)
Output number: 1, Rank-220: (1) 50 | (2) 471 | (3)10.6157/100 | (4) 18, 18 | (5) 29.9862 | (6) 65.2795 | (7) 0.000316122 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 52.7778/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (60475, 60475) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 110.951 | (25) (35.2886, 58-65)
Output number: 1, Rank-760: (1) 60 | (2) 1674 | (3)3.58423/100 | (4) 11, 11 | (5) 42.8577 | (6) 60.8804 | (7) 0.000386141 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 57.2222/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (35602, 35602) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 103.83 | (25) (33.7323, 128-142)
Output number: 1, Rank-170: (1) 33 | (2) 504 | (3)6.54762/100 | (4) 34, 34 | (5) 18.9445 | (6) 67.7138 | (7) 0.000394757 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.7778/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (99467, 99467) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 115.502 | (25) (34.7553, 57-89)
Output number: 1, Rank-677: (1) 31 | (2) 1705 | (3)1.81818/100 | (4) 53, 53 | (5) 7.39788 | (6) 70.4295 | (7) 0.000371627 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 42.7778/100 | (15) 0 | (17) (53, 53) | (18) X | (19) (106983, 106983) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 86.9728 | (25) (33.8565, 141-126)
Output number: 1, Rank-785: (1) 48 | (2) 441 | (3)10.8844/100 | (4) 14, 14 | (5) 42.6826 | (6) 59.0039 | (7) 0.000275983 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 56.1111/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (41095, 41095) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 103.313 | (25) (33.6067, 83-79)
Output number: 1, Rank-601: (1) 56 | (2) 1606 | (3)3.48692/100 | (4) 9, 9 | (5) 41.9238 | (6) 60.3785 | (7) 0.000312202 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 56.6667/100 | (15) 0 | (17) (9, 9) | (18) X | (19) (35636, 35636) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 101.696 | (25) (33.5575, 58-78)
Output number: 1, Rank-276: (1) 45 | (2) 477 | (3)9.43396/100 | (4) 24, 24 | (5) 31.6758 | (6) 63.9868 | (7) 0.00028524 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 52.7778/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (77593, 77593) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 108.084 | (25) (33.3757, 64-79)
Output number: 1, Rank-125: (1) 25 | (2) 437 | (3)5.72082/100 | (4) 27, 27 | (5) 15.4406 | (6) 69.8884 | (7) 0.000273363 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (74272, 74272) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 108.885 | (25) (33.3427, 66-64)
Output number: 1, Rank-886: (1) 36 | (2) 1688 | (3)2.1327/100 | (4) 17, 17 | (5) 30.5525 | (6) 65.4262 | (7) 0.000321898 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 52.7778/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (51571, 51571) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 105.89 | (25) (33.8913, 57-79)
Output number: 1, Rank-109: (1) 57 | (2) 1571 | (3)3.62826/100 | (4) 8, 8 | (5) 42.3379 | (6) 62.0221 | (7) 0.000261823 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 57.7778/100 | (15) 0 | (17) (8, 8) | (18) X | (19) (39058, 39058) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 100.015 | (25) (32.9286, 140-9)
Output number: 1, Rank-318: (1) 29 | (2) 546 | (3)5.31136/100 | (4) 33, 33 | (5) 12.4829 | (6) 70.0586 | (7) 0.000380762 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 45.5556/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (88301, 88301) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 141.891 | (25) (33.2653, 74-76)
Output number: 1, Rank-700: (1) 34 | (2) 1701 | (3)1.99882/100 | (4) 25, 25 | (5) 17.5075 | (6) 70.4161 | (7) 0.00029432 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.3333/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (97694, 97694) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 108.873 | (25) (33.4939, 81-90)
Output number: 1, Rank-637: (1) 22 | (2) 506 | (3)4.34783/100 | (4) 41, 41 | (5) 7.23767 | (6) 71.9951 | (7) 0.00032045 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 43.8889/100 | (15) 0 | (17) (41, 41) | (18) X | (19) (82387, 82387) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 116.261 | (25) (33.8335, 74-81)
Output number: 1, Rank-864: (1) 17 | (2) 1605 | (3)1.05919/100 | (4) 18, 18 | (5) 15.8253 | (6) 71.6743 | (7) 0.000264669 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.3333/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (72969, 72969) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 104.84 | (25) (33.2782, 55-84)
Output number: 1, Rank-823: (1) 36 | (2) 1557 | (3)2.31214/100 | (4) 29, 29 | (5) 24.0014 | (6) 67.4018 | (7) 0.00032172 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50.5556/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (66761, 66761) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 109.934 | (25) (33.6315, 60-60)
Output number: 1, Rank-301: (1) 28 | (2) 1724 | (3)1.62413/100 | (4) 20, 20 | (5) 26.0089 | (6) 69.4682 | (7) 0.000313156 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 52.7778/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (66817, 66817) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 106.527 | (25) (33.2437, 0-12)
Output number: 1, Rank-380: (1) 31 | (2) 406 | (3)7.63547/100 | (4) 20, 20 | (5) 17.8861 | (6) 69.6628 | (7) 0.000273644 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.3333/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (78098, 78098) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 106.428 | (25) (33.9683, 9-11)
Output number: 1, Rank-159: (1) 37 | (2) 476 | (3)7.77311/100 | (4) 19, 19 | (5) 22.4401 | (6) 69.4258 | (7) 0.000348519 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50.5556/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (76533, 76533) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 108.889 | (25) (34.2503, 79-76)
Output number: 1, Rank-541: (1) 38 | (2) 1682 | (3)2.25922/100 | (4) 30, 30 | (5) 22.9762 | (6) 68.3298 | (7) 0.000352029 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50.5556/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (96115, 96115) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 113.444 | (25) (35.0964, 11-131)
Output number: 1, Rank-479: (1) 22 | (2) 1627 | (3)1.35218/100 | (4) 46, 46 | (5) 8.37131 | (6) 71.4773 | (7) 0.000285389 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 43.8889/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (87312, 87312) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 84.6239 | (25) (33.58, 5-143)
Output number: 1, Rank-442: (1) 36 | (2) 549 | (3)6.55738/100 | (4) 14, 14 | (5) 36.1557 | (6) 62.0151 | (7) 0.000360602 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 54.4444/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (41144, 41144) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 104.78 | (25) (33.4651, 8-3)
Output number: 1, Rank-358: (1) 36 | (2) 530 | (3)6.79245/100 | (4) 21, 21 | (5) 20.5192 | (6) 67.6228 | (7) 0.000399825 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.8889/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (63499, 63499) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 105.355 | (25) (33.3024, 10-8)
Output number: 1, Rank-30: (1) 37 | (2) 1654 | (3)2.237/100 | (4) 14, 14 | (5) 18.9328 | (6) 69.8276 | (7) 0.000385351 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.8889/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (61810, 61810) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 103.2 | (25) (33.3981, 126-1)
